 count |    mac_prefix     
     2 | 20:64:32:00:00:00
     2 | cc:07:ab:00:00:00
     2 | 54:e4:3a:00:00:00
     2 | bc:3b:af:00:00:00
     2 | 40:b0:fa:00:00:00
     2 | ac:7f:3e:00:00:00
     2 | 94:35:0a:00:00:00
     2 | e4:25:e7:00:00:00
     2 | f0:25:b7:00:00:00
     2 | f8:e0:79:00:00:00
     2 | c0:f2:fb:00:00:00
     2 | f4:09:d8:00:00:00
     2 | e0:f8:47:00:00:00
     2 | 08:d4:2b:00:00:00
     2 | 5c:8d:4e:00:00:00
     2 | 2c:b4:3a:00:00:00
     2 | 38:2d:d1:00:00:00
     2 | 20:d3:90:00:00:00
     1 | 32:9f:b8:00:00:00
     1 | e4:92:fb:00:00:00
     1 | 7a:9f:0d:00:00:00
     1 | 04:0c:ce:00:00:00
     1 | 2c:54:cf:00:00:00
     1 | 50:1a:c5:00:00:00
     1 | 1c:af:05:00:00:00
     1 | 82:aa:a7:00:00:00
     1 | 4c:3c:16:00:00:00
     1 | d8:90:e8:00:00:00
     1 | 14:b4:84:00:00:00
     1 | 78:ca:39:00:00:00
     1 | a8:8e:24:00:00:00
     1 | 68:a8:6d:00:00:00
     1 | f0:d1:a9:00:00:00
     1 | 76:b9:da:00:00:00
     1 | 42:31:91:00:00:00
     1 | a6:5b:0b:00:00:00
     1 | aa:8b:6d:00:00:00
     1 | 8c:71:f8:00:00:00
     1 | 80:57:19:00:00:00
     1 | ea:c7:3a:00:00:00
     1 | 2a:08:f7:00:00:00
     1 | 5e:13:77:00:00:00
     1 | 02:40:05:00:00:00
     1 | b2:ed:4f:00:00:00
     1 | 98:52:b1:00:00:00
     1 | c6:a3:fa:00:00:00
     1 | fa:d9:0e:00:00:00
     1 | 40:0e:85:00:00:00
     1 | b6:64:9a:00:00:00
     1 | ec:59:e7:00:00:00
     1 | 74:5c:9f:00:00:00
     1 | be:df:10:00:00:00
     1 | b6:3a:e5:00:00:00
     1 | d6:2d:68:00:00:00
     1 | 16:3a:14:00:00:00
     1 | e4:40:e2:00:00:00
     1 | 30:10:e4:00:00:00
     1 | fe:17:2c:00:00:00
     1 | 7e:76:ae:00:00:00
     1 | bc:85:1f:00:00:00
     1 | 26:b7:ba:00:00:00
     1 | 1e:44:cc:00:00:00
     1 | 30:19:66:00:00:00
     1 | ac:38:70:00:00:00
     1 | ac:3c:0b:00:00:00
     1 | b4:52:7d:00:00:00
     1 | 2a:c8:13:00:00:00
     1 | 1a:74:c1:00:00:00
     1 | ec:35:86:00:00:00
     1 | 56:6a:c3:00:00:00
     1 | 88:9b:39:00:00:00
     1 | 04:54:53:00:00:00
     1 | 90:8d:6c:00:00:00
     1 | 1e:ed:55:00:00:00
     1 | d0:ae:ec:00:00:00
     1 | 00:0b:6b:00:00:00
     1 | be:b5:82:00:00:00
     1 | 16:4e:f6:00:00:00
     1 | d2:4f:67:00:00:00
     1 | 48:e9:f1:00:00:00
     1 | 9c:04:eb:00:00:00
     1 | 6c:2f:2c:00:00:00
     1 | 80:71:7a:00:00:00
     1 | ee:99:12:00:00:00
     1 | ba:77:ae:00:00:00
     1 | 26:55:00:00:00:00
     1 | 06:2c:c5:00:00:00
     1 | ba:19:f0:00:00:00
     1 | 82:38:e6:00:00:00
     1 | 58:1f:aa:00:00:00
     1 | 64:20:0c:00:00:00
     1 | f4:1b:a1:00:00:00
     1 | f6:78:03:00:00:00
     1 | 3e:d1:fe:00:00:00
     1 | a6:2e:40:00:00:00
     1 | c4:2c:03:00:00:00
     1 | 88:cb:87:00:00:00
     1 | b8:98:f7:00:00:00
     1 | 0a:0f:17:00:00:00
     1 | e4:8b:7f:00:00:00
     1 | 4a:5a:3f:00:00:00
     1 | 76:6e:6a:00:00:00
     1 | 38:0b:40:00:00:00
     1 | 4a:ec:7a:00:00:00
     1 | aa:d3:fe:00:00:00
     1 | 16:b8:57:00:00:00
     1 | 84:25:db:00:00:00
     1 | 56:da:0d:00:00:00
     1 | 84:b1:53:00:00:00
     1 | 18:87:96:00:00:00
     1 | 68:d9:3c:00:00:00
     1 | 00:25:00:00:00:00
     1 | 40:30:04:00:00:00
     1 | ae:77:52:00:00:00
     1 | 64:b3:10:00:00:00
     1 | 00:e3:b2:00:00:00
     1 | 5a:f7:71:00:00:00
     1 | 6e:50:f0:00:00:00
     1 | bc:cf:cc:00:00:00
     1 | ae:cc:e7:00:00:00
     1 | b4:30:52:00:00:00
     1 | e8:4e:84:00:00:00
     1 | bc:f5:ac:00:00:00
     1 | ce:3a:ce:00:00:00
     1 | 74:da:38:00:00:00
     1 | 4a:12:04:00:00:00
     1 | a8:88:08:00:00:00
     1 | 34:e2:fd:00:00:00
     1 | fe:b0:84:00:00:00
     1 | a8:86:dd:00:00:00
     1 | 18:34:51:00:00:00
     1 | ec:85:2f:00:00:00
     1 | 32:c8:45:00:00:00
     1 | 82:f5:73:00:00:00
     1 | b2:cf:bd:00:00:00
     1 | bc:8c:cd:00:00:00
     1 | 32:57:b0:00:00:00
     1 | e0:63:e5:00:00:00
     1 | 00:a0:96:00:00:00
     1 | a6:e4:7c:00:00:00
     1 | 24:24:0e:00:00:00
     1 | 34:4d:f7:00:00:00
